image_path,file_name,file_extension,status,error,file_size_mb,created_time,modified_time,Species,activity,filename_tokens,image_format,color_mode,width_px,height_px,aspect_ratio,has_exif,camera_make,camera_model,datetime_original,gps_info
D:\NEOM_PROJECT\Marine_New_Data\Islands flora and fauna baseline studies\3. deliverables\01 Reports\June Survey\N745_NEOM Islands_GIS Deliverables\Shapefiles\000_Premobilisation\Terrain\ClippedSlopeN27E35_3857.tif,ClippedSlopeN27E35_3857.tif,.tif,failed,'TiffImageFile' object has no attribute '_getexif',13.378,2025-12-15 14:22:10.188975,2025-10-31 10:48:34,Flora And Fauna,Survey,"ClippedSlopeN27E35, 3857",TIFF,F,2289.0,1531.0,1.4951,,,,,
D:\NEOM_PROJECT\Marine_New_Data\Islands flora and fauna baseline studies\3. deliverables\01 Reports\June Survey\N745_NEOM Islands_GIS Deliverables\Shapefiles\000_Premobilisation\Terrain\ClippedSlopeN28E34_3857.tif,ClippedSlopeN28E34_3857.tif,.tif,failed,'TiffImageFile' object has no attribute '_getexif',13.247,2025-12-15 14:22:10.353422,2025-10-31 10:48:34,Flora And Fauna,Survey,"ClippedSlopeN28E34, 3857",TIFF,F,2289.0,1516.0,1.5099,,,,,
D:\NEOM_PROJECT\Marine_New_Data\Islands flora and fauna baseline studies\3. deliverables\01 Reports\June Survey\N745_NEOM Islands_GIS Deliverables\Shapefiles\000_Premobilisation\Terrain\ClippedSlopeN28E35_3857.tif,ClippedSlopeN28E35_3857.tif,.tif,failed,'TiffImageFile' object has no attribute '_getexif',13.247,2025-12-15 14:22:10.532876,2025-10-31 10:48:34,Flora And Fauna,Survey,"ClippedSlopeN28E35, 3857",TIFF,F,2289.0,1516.0,1.5099,,,,,
D:\NEOM_PROJECT\Marine_New_Data\Islands flora and fauna baseline studies\3. deliverables\01 Reports\June Survey\N745_NEOM Islands_GIS Deliverables\Shapefiles\000_Premobilisation\Terrain\N27E34_3857.tif,N27E34_3857.tif,.tif,failed,'TiffImageFile' object has no attribute '_getexif',24.775,2025-12-15 14:22:12.155895,2025-10-31 10:48:34,Flora And Fauna,Survey,"N27E34, 3857",TIFF,I,3601.0,3601.0,1.0,,,,,
D:\NEOM_PROJECT\Marine_New_Data\Islands flora and fauna baseline studies\3. deliverables\01 Reports\June Survey\N745_NEOM Islands_GIS Deliverables\Shapefiles\000_Premobilisation\Terrain\N27E35_3857.tif,N27E35_3857.tif,.tif,failed,'TiffImageFile' object has no attribute '_getexif',24.775,2025-12-15 14:22:12.428399,2025-10-31 10:48:34,Flora And Fauna,Survey,"N27E35, 3857",TIFF,I,3601.0,3601.0,1.0,,,,,
D:\NEOM_PROJECT\Marine_New_Data\Islands flora and fauna baseline studies\3. deliverables\01 Reports\June Survey\N745_NEOM Islands_GIS Deliverables\Shapefiles\000_Premobilisation\Terrain\N28E34_3857.tif,N28E34_3857.tif,.tif,failed,'TiffImageFile' object has no attribute '_getexif',24.775,2025-12-15 14:22:13.694467,2025-10-31 10:48:34,Flora And Fauna,Survey,"N28E34, 3857",TIFF,I,3601.0,3601.0,1.0,,,,,
D:\NEOM_PROJECT\Marine_New_Data\Islands flora and fauna baseline studies\3. deliverables\01 Reports\June Survey\N745_NEOM Islands_GIS Deliverables\Shapefiles\000_Premobilisation\Terrain\N28E35_3857.tif,N28E35_3857.tif,.tif,failed,'TiffImageFile' object has no attribute '_getexif',24.775,2025-12-15 14:22:13.972835,2025-10-31 10:48:36,Flora And Fauna,Survey,"N28E35, 3857",TIFF,I,3601.0,3601.0,1.0,,,,,
D:\NEOM_PROJECT\Marine_New_Data\Islands flora and fauna baseline studies\3. deliverables\01 Reports\June Survey\N745_NEOM Islands_GIS Deliverables\Shapefiles\000_Premobilisation\Terrain\Slope2.tif,Slope2.tif,.tif,failed,'TiffImageFile' object has no attribute '_getexif',49.487,2025-12-15 14:22:15.829952,2025-10-31 10:48:36,Flora And Fauna,Survey,Slope2,TIFF,F,3601.0,3601.0,1.0,,,,,
D:\NEOM_PROJECT\Marine_New_Data\Islands flora and fauna baseline studies\3. deliverables\01 Reports\June Survey\N745_NEOM Islands_GIS Deliverables\Shapefiles\000_Premobilisation\Terrain\SlopeN27E34_3857.tif,SlopeN27E34_3857.tif,.tif,failed,'TiffImageFile' object has no attribute '_getexif',49.487,2025-12-15 14:22:16.322822,2025-10-31 10:48:36,Flora And Fauna,Survey,"SlopeN27E34, 3857",TIFF,F,3601.0,3601.0,1.0,,,,,
D:\NEOM_PROJECT\Marine_New_Data\Islands flora and fauna baseline studies\3. deliverables\01 Reports\June Survey\N745_NEOM Islands_GIS Deliverables\Shapefiles\000_Premobilisation\Terrain\SlopeN27E35_3857.tif,SlopeN27E35_3857.tif,.tif,failed,'TiffImageFile' object has no attribute '_getexif',49.487,2025-12-15 14:22:16.900646,2025-10-31 10:48:36,Flora And Fauna,Survey,"SlopeN27E35, 3857",TIFF,F,3601.0,3601.0,1.0,,,,,
D:\NEOM_PROJECT\Marine_New_Data\Islands flora and fauna baseline studies\3. deliverables\01 Reports\June Survey\N745_NEOM Islands_GIS Deliverables\Shapefiles\000_Premobilisation\Terrain\SlopeN28E34_3857.tif,SlopeN28E34_3857.tif,.tif,failed,'TiffImageFile' object has no attribute '_getexif',49.487,2025-12-15 14:22:17.412837,2025-10-31 10:48:36,Flora And Fauna,Survey,"SlopeN28E34, 3857",TIFF,F,3601.0,3601.0,1.0,,,,,
D:\NEOM_PROJECT\Marine_New_Data\Islands flora and fauna baseline studies\3. deliverables\01 Reports\June Survey\N745_NEOM Islands_GIS Deliverables\Shapefiles\000_Premobilisation\Terrain\SlopeN28E35_3857.tif,SlopeN28E35_3857.tif,.tif,failed,'TiffImageFile' object has no attribute '_getexif',49.487,2025-12-15 14:22:17.907053,2025-10-31 10:48:36,Flora And Fauna,Survey,"SlopeN28E35, 3857",TIFF,F,3601.0,3601.0,1.0,,,,,
D:\NEOM_PROJECT\Marine_New_Data\Islands flora and fauna baseline studies\3. deliverables\01 Reports\June Survey\N745_NEOM Islands_GIS Deliverables\Shapefiles\000_Premobilisation\Unsupervised\Al Farsha.tif,Al Farsha.tif,.tif,failed,'TiffImageFile' object has no attribute '_getexif',0.405,2025-12-15 14:22:20.997632,2025-10-31 10:48:38,Flora And Fauna,Survey,Al Farsha,TIFF,F,336.0,315.0,1.0667,,,,,
D:\NEOM_PROJECT\Marine_New_Data\Islands flora and fauna baseline studies\3. deliverables\01 Reports\June Survey\N745_NEOM Islands_GIS Deliverables\Shapefiles\000_Premobilisation\Unsupervised\Maktal Ali.tif,Maktal Ali.tif,.tif,failed,'TiffImageFile' object has no attribute '_getexif',0.778,2025-12-15 14:22:21.067404,2025-10-31 10:48:38,Flora And Fauna,Survey,Maktal Ali,TIFF,F,422.0,482.0,0.8755,,,,,
D:\NEOM_PROJECT\Marine_New_Data\Islands flora and fauna baseline studies\3. deliverables\01 Reports\June Survey\N745_NEOM Islands_GIS Deliverables\Shapefiles\000_Premobilisation\Unsupervised\Shusha.tif,Shusha.tif,.tif,failed,'TiffImageFile' object has no attribute '_getexif',0.143,2025-12-15 14:22:21.139575,2025-10-31 10:48:38,Flora And Fauna,Survey,Shusha,TIFF,F,210.0,177.0,1.1864,,,,,
D:\NEOM_PROJECT\Marine_New_Data\Islands flora and fauna baseline studies\3. deliverables\01 Reports\June Survey\N745_NEOM Islands_GIS Deliverables\Shapefiles\000_Premobilisation\Unsupervised\Sila.tif,Sila.tif,.tif,failed,'TiffImageFile' object has no attribute '_getexif',0.256,2025-12-15 14:22:21.198695,2025-10-31 10:48:38,Flora And Fauna,Survey,Sila,TIFF,F,238.0,281.0,0.847,,,,,
D:\NEOM_PROJECT\Marine_New_Data\Islands flora and fauna baseline studies\3. deliverables\01 Reports\June Survey\N745_NEOM Islands_GIS Deliverables\Shapefiles\000_Premobilisation\Unsupervised\Umm Shujayrat.tif,Umm Shujayrat.tif,.tif,failed,'TiffImageFile' object has no attribute '_getexif',0.147,2025-12-15 14:22:21.249541,2025-10-31 10:48:38,Flora And Fauna,Survey,Umm Shujayrat,TIFF,F,249.0,154.0,1.6169,,,,,
D:\NEOM_PROJECT\Marine_New_Data\Islands flora and fauna baseline studies\3. deliverables\01 Reports\June Survey\N745_NEOM Islands_GIS Deliverables\Shapefiles\000_Premobilisation\Unsupervised\Walih.tif,Walih.tif,.tif,failed,'TiffImageFile' object has no attribute '_getexif',0.126,2025-12-15 14:22:21.293271,2025-10-31 10:48:38,Flora And Fauna,Survey,Walih,TIFF,F,246.0,133.0,1.8496,,,,,
D:\NEOM_PROJECT\Marine_New_Data\Islands flora and fauna baseline studies\3. deliverables\01 Reports\June Survey\N745_NEOM Islands_GIS Deliverables\Shapefiles\000_Premobilisation\Unsupervised\Yuba.tif,Yuba.tif,.tif,failed,'TiffImageFile' object has no attribute '_getexif',0.329,2025-12-15 14:22:21.344103,2025-10-31 10:48:38,Flora And Fauna,Survey,Yuba,TIFF,F,274.0,314.0,0.8726,,,,,
D:\NEOM_PROJECT\Marine_New_Data\Islands flora and fauna baseline studies\3. deliverables\02 Maps\Avifauna\Al Farsha Avifauna.jpeg,Al Farsha Avifauna.jpeg,.jpeg,success,,0.755,2025-12-15 14:23:43.257983,2025-10-31 10:53:50,Flora And Fauna,,Al Farsha Avifauna,JPEG,RGB,3507.0,2480.0,1.4141,False,,,,False
D:\NEOM_PROJECT\Marine_New_Data\Islands flora and fauna baseline studies\3. deliverables\02 Maps\Avifauna\Maktal Ali Avifauna.jpeg,Maktal Ali Avifauna.jpeg,.jpeg,success,,0.797,2025-12-15 14:23:43.286315,2025-10-31 10:53:50,Flora And Fauna,,Maktal Ali Avifauna,JPEG,RGB,3507.0,2480.0,1.4141,False,,,,False
D:\NEOM_PROJECT\Marine_New_Data\Islands flora and fauna baseline studies\3. deliverables\02 Maps\Avifauna\Shusha Avifauna.jpeg,Shusha Avifauna.jpeg,.jpeg,success,,0.641,2025-12-15 14:23:43.316536,2025-10-31 10:53:50,Flora And Fauna,,Shusha Avifauna,JPEG,RGB,3507.0,2480.0,1.4141,False,,,,False
D:\NEOM_PROJECT\Marine_New_Data\Islands flora and fauna baseline studies\3. deliverables\02 Maps\Avifauna\Sila Avifauna.jpeg,Sila Avifauna.jpeg,.jpeg,success,,0.638,2025-12-15 14:23:43.332387,2025-10-31 10:53:50,Flora And Fauna,,Sila Avifauna,JPEG,RGB,3507.0,2480.0,1.4141,False,,,,False
D:\NEOM_PROJECT\Marine_New_Data\Islands flora and fauna baseline studies\3. deliverables\02 Maps\Avifauna\Umm Shujayrat Avifauna.jpeg,Umm Shujayrat Avifauna.jpeg,.jpeg,success,,0.614,2025-12-15 14:23:43.359761,2025-10-31 10:53:50,Flora And Fauna,,Umm Shujayrat Avifauna,JPEG,RGB,3507.0,2480.0,1.4141,False,,,,False
D:\NEOM_PROJECT\Marine_New_Data\Islands flora and fauna baseline studies\3. deliverables\02 Maps\Avifauna\Walih Avifauna.jpeg,Walih Avifauna.jpeg,.jpeg,success,,0.628,2025-12-15 14:23:43.386133,2025-10-31 10:53:50,Flora And Fauna,,Walih Avifauna,JPEG,RGB,3507.0,2480.0,1.4141,False,,,,False
D:\NEOM_PROJECT\Marine_New_Data\Islands flora and fauna baseline studies\3. deliverables\02 Maps\Avifauna\Yuba Avifauna.jpeg,Yuba Avifauna.jpeg,.jpeg,success,,0.548,2025-12-15 14:23:43.407662,2025-10-31 10:53:50,Flora And Fauna,,Yuba Avifauna,JPEG,RGB,3507.0,2480.0,1.4141,False,,,,False
D:\NEOM_PROJECT\Marine_New_Data\Islands flora and fauna baseline studies\3. deliverables\02 Maps\Ecological Waypoints\Al Farsha Waypoints.jpeg,Al Farsha Waypoints.jpeg,.jpeg,success,,0.754,2025-12-15 14:23:43.432186,2025-10-31 10:53:50,Flora And Fauna,,Al Farsha Waypoints,JPEG,RGB,3507.0,2480.0,1.4141,False,,,,False
